,vip,title,year,kms,city,province,transmission,price,age,age_sq,year_norm,year_norm_sq,kms_norm,kms_norm_sq,10th Quantile,50th Quantile,90th Quantile,cheap,expensive
0,28602853,2014 Subaru Outback 5dr Wgn Auto 3.6R,2014.0,175852.0,Toronto,ON,Automatic,15500.0,9.0,81.0,0.16,0.0256,175.852,30923.925904,11754.884973580316,14698.859858468139,18791.822131578243,False,False
1,25729589,2019 Subaru Outback 3.6R Limited,2019.0,133627.0,Greenwood,NS,Automatic,27998.0,4.0,16.0,0.21,0.04409999999999999,133.627,17856.175129000003,25230.91154353584,27711.794356549603,31252.889976073355,False,False
2,29036274,2014 Subaru Outback 2.5 limited,2014.0,195000.0,-,QC,,12500.0,9.0,81.0,0.16,0.0256,195.0,38025.0,11037.094820311504,13760.071111703815,17691.45064498194,False,False
4,28654318,"2019 Subaru Outback LIMITED ; SUNROOF, AWD, HEATED SEATS/WHEEL, LEATHER, NAV, HARMON/KARDON, BACKUP CAMERA, BUTTON START, ANDROID AUTO, APPLE CARPLA",2019.0,52332.0,Langley,BC,Automatic,34997.0,4.0,16.0,0.21,0.04409999999999999,52.332,2738.6382240000003,27878.714628839047,33294.27504515858,37700.177220317324,False,False
5,27227379,2016 Subaru Outback Avec,2016.0,195294.0,Saint-Jérôme,QC,Automatic,13995.0,7.0,49.0,0.18,0.0324,195.294,38139.746436,15209.487163417361,17482.386313581555,21149.20730820026,True,False
6,28599351,2017 Subaru Outback 2.5i Touring w/Tech Pkg | SUNROOF | BACKUP CAMERA | ROOF RAILS |,2017.0,70316.0,Winnipeg,MB,Automatic,28946.0,6.0,36.0,0.19,0.0361,70.316,4944.3398560000005,21937.155943493926,27140.548756992488,31830.66047421806,False,False
7,28545708,2014 Subaru Outback 2.5I CONVENIENCE 4D,2014.0,205449.0,Lachine,QC,Manual,10995.0,9.0,81.0,0.16,0.0256,205.449,42209.291601000004,10637.17622406625,13280.630146990276,17127.513079858996,False,False
8,28939164,2003 Subaru Outback Base,2003.0,153913.0,Edmonton,AB,Manual,11000.0,20.0,400.0,0.05,0.0025000000000000005,153.913,23689.211569000003,3873.7863430362195,7973.496126220241,10999.99999999952,False,True
9,28734638,2011 Subaru Outback 2.5i Premium,2011.0,187579.0,Mirabel,QC,Automatic,10995.0,12.0,144.0,0.13,0.016900000000000002,187.579,35185.881241,6545.401060757817,9837.604910063645,13940.142131319546,False,False
10,28986540,2023 Subaru Outback 2.4L Wilderness Turbo,2023.0,8980.0,Guelph,ON,Automatic,48800.0,0.0,0.0,0.25,0.0625,8.98,80.64040000000001,42324.245496054486,48564.31707647539,52063.70193149949,False,False
11,28985366,2021 Subaru Outback Limited XT 2.4L AWD | SUNROOF | NAV | 26K | LTHR,2021.0,26707.0,Georgetown,ON,Automatic,43950.0,2.0,4.0,0.23,0.0529,26.707,713.263849,34828.24950616983,40850.60590919238,44921.349749417874,False,False
12,29043238,2011 Subaru Outback 2.5i Prem,2011.0,284250.0,Lower Sackville,NS,Automatic,4995.0,12.0,144.0,0.13,0.016900000000000002,284.25,80798.0625,2662.000489254373,6134.996230194418,9537.874717510844,False,False
13,28920218,2012 Subaru Outback Touring AWD CLEAN CARFAX!,2012.0,193334.0,Halifax,NS,Manual,5990.0,11.0,121.0,0.14,0.019600000000000003,193.334,37378.035556,7718.438155309181,10810.335598330297,14866.293796713653,True,False
14,29047184,2020 Subaru Outback Limited XT Cuir Navi Harmon Kardon,2020.0,42515.0,Sainte-Julie,QC,Automatic,35995.0,3.0,9.0,0.22,0.0484,42.515,1807.525225,31168.349652330362,36727.75693625396,40947.46851624621,False,False
15,29045525,2018 Subaru Outback Touring,2018.0,97870.0,Laval,QC,Automatic,25995.0,5.0,25.0,0.2,0.04000000000000001,97.87,9578.536900000001,23645.56864918324,27506.844397957077,31672.3925654511,False,False
16,29045335,"2021 Subaru Outback LIMITED XT,CAMÉRA DE RECUL,BANC CHAUFFANT",2021.0,30457.0,Repentigny,QC,Automatic,38495.0,2.0,4.0,0.23,0.0529,30.457,927.6288490000001,34718.95285187303,40541.787935311324,44566.894772000516,False,False
17,29039797,2020 Subaru Outback Convenience Eyesight,2020.0,49565.0,Montreal,QC,Automatic,28300.0,3.0,9.0,0.22,0.0484,49.565,2456.6892249999996,30956.32684870097,36173.32876465981,40310.17076739546,True,False
18,29039801,2019 Subaru Outback Touring,2019.0,95111.0,Montreal,QC,Automatic,23800.0,4.0,16.0,0.21,0.04409999999999999,95.111,9046.102321,26529.19955909129,30181.63136067349,34112.856894367316,True,False
19,29038579,2019 Subaru Outback Touring AWD,2019.0,42275.0,Laval,QC,Automatic,29999.0,4.0,16.0,0.21,0.04409999999999999,42.275,1787.1756249999999,28181.84615546981,34082.48083245956,38606.296222578036,False,False
20,27888353,2018 Subaru Outback 2.5i,2018.0,62004.0,Kentville,NS,Automatic,27900.0,5.0,25.0,0.2,0.04000000000000001,62.004,3844.4960159999996,24788.85952833846,30069.127977670225,34627.34271578697,False,False
21,28897159,2020 Subaru Outback Premier |Apple CarPlay|Moonroof|Power Liftgate|,2020.0,62928.0,Ottawa,ON,Automatic,33558.0,3.0,9.0,0.22,0.0484,62.928,3959.9331839999995,30547.192971918263,35151.40940267848,39134.41999559413,False,False
22,29037052,2019 Subaru Outback 2.5i Touring w/ EyeSight at,2019.0,97424.0,Laval,QC,Automatic,24988.0,4.0,16.0,0.21,0.04409999999999999,97.424,9491.435776000002,26453.460013050797,30024.414792777272,33931.21582997063,True,False
23,28990453,2011 Subaru Outback 3.6R w/Limited & Nav Pkg,2011.0,1.0,Toronto,ON,Automatic,9995.0,12.0,144.0,0.13,0.016900000000000002,0.001,1e-06,12662.958816587823,22686.176759236107,28780.529698913477,True,False
24,28082508,2016 Subaru Outback 3.6R w/Limited Pkg,2016.0,126527.0,Toronto,ON,Automatic,19000.0,7.0,49.0,0.18,0.0324,126.527,16009.081729,17697.665888809133,21212.077998401335,25499.30349060226,False,False
25,28540047,"2013 Subaru Outback 2.5i Touring TOIT , BLUETOOTH",2013.0,217500.0,Dorval,QC,Automatic,7999.0,10.0,100.0,0.15,0.0225,217.5,47306.25,8377.582155413162,11153.851347685304,14980.851306379765,True,False
26,28646179,2015 Subaru Outback 5dr Wgn CVT 2.5i w/Limited,2015.0,51141.0,Scarborough,ON,CVT,19995.0,8.0,64.0,0.17,0.028900000000000006,51.141,2615.401881,17944.399322096586,24498.652096311547,29745.24212281793,False,False
27,28998342,2005 Subaru Outback,2005.0,250000.0,-,ON,,1200.0,18.0,324.0,0.07,0.004900000000000001,250.0,62500.0,-38.323364265146665,3443.2297320757643,6266.56831722545,False,False
28,28548481,2022 Subaru Outback Wilderness CVT,2022.0,34394.0,Montreal,QC,CVT,39990.0,1.0,1.0,0.24,0.0576,34.394,1182.947236,37997.916965934804,43239.021303806745,46839.67383550693,False,False
29,29016010,2015 Subaru Outback 3.6R Limited,2015.0,212238.0,Montréal,QC,Automatic,12995.0,8.0,64.0,0.17,0.028900000000000006,212.238,45044.968644,12365.79896887469,14761.142503619434,18442.354838383,False,False
30,28975830,2021 Subaru Outback 2.5L Touring,2021.0,27148.0,Guelph,ON,Automatic,40000.0,2.0,4.0,0.23,0.0529,27.148,737.013904,34815.43502015053,40814.13389568069,44879.493466627246,False,False
31,25002748,2011 Subaru Outback 2.5i/limited/leather/sunroof/back up camera,2011.0,164345.0,Calgary,AB,Automatic,14900.0,12.0,144.0,0.13,0.016900000000000002,164.345,27009.279025,7404.667630079995,11023.439788848824,15327.270959328685,False,False
32,23394747,2018 Subaru Outback AWD Only 32000 Kms !,2018.0,32551.0,Ottawa,ON,Automatic,29888.0,5.0,25.0,0.2,0.04000000000000001,32.551,1059.5676010000002,25676.571898529164,32377.63561576684,37281.1900310842,False,False
33,25670098,2018 Subaru Outback 2.5i Premium,2018.0,16891.0,Pickering,ON,Automatic,24999.0,5.0,25.0,0.2,0.04000000000000001,16.891,285.30588099999994,26129.779409762,33680.10563460272,38775.67856932738,True,False
34,23988703,2018 Subaru Outback LTD NAV SUNROOF MINT! WE FINANCE ALL CREDIT!,2018.0,67480.0,London,ON,Automatic,34995.0,5.0,25.0,0.2,0.04000000000000001,67.48,4553.550400000001,24618.727370521046,29660.24149222793,34156.52465186894,False,True
35,28975514,2022 Subaru Outback Wilderness | Leasing Available | Accident free,2022.0,24254.0,Winnipeg,MB,Automatic,45995.0,1.0,1.0,0.24,0.0576,24.254,588.256516,38293.855224276725,44072.466564751565,47796.34256443223,False,False
36,24722420,2019 Subaru Outback Touring w/ Eyesight,2019.0,33566.0,Saint John,NB,Automatic,34888.0,4.0,16.0,0.21,0.04409999999999999,33.566,1126.6763560000002,28440.001621300333,34782.40035388959,39410.2683422814,False,False
37,24411057,2018 Subaru Outback AWD | CAMERA | HTD SEATS | BLUETOOTH | PWR GROUP,2018.0,98075.0,Burlington,ON,Automatic,24450.0,5.0,25.0,0.2,0.04000000000000001,98.075,9618.705625,23638.837305133144,27492.98463529563,31656.376387266882,False,False
38,29000914,2016 Subaru Outback 2.5 Limited,2016.0,159000.0,Lachine,QC,Automatic,17500.0,7.0,49.0,0.18,0.0324,159.0,25281.0,16554.040808208883,19325.64992381227,23305.890507768017,False,False
39,28094262,2019 Subaru Outback Limited | Harmon/Kardon Speakers | Heated Seats,2019.0,86407.0,Calgary,AB,Automatic,37016.0,4.0,16.0,0.21,0.04409999999999999,86.407,7466.1696489999995,26811.66372469464,30783.436319749075,34807.7137575785,False,True
40,28607743,2015 Subaru Outback 2.5i|LIMITED PACKAGE|NO ACCIDENT|AWD|MUST SEE,2015.0,197823.0,Toronto,ON,Automatic,15888.0,8.0,64.0,0.17,0.028900000000000006,197.823,39133.939329,12921.193902340267,15407.839987807594,19203.97216833612,False,False
41,28946558,2011 Subaru Outback,2011.0,204000.0,Grande Prairie,AB,Automatic,9000.0,12.0,144.0,0.13,0.016900000000000002,204.0,41616.0,5920.786614999175,9068.672224508875,13036.687308459426,False,False
42,28983576,"2016 Subaru Outback NAV, LEATHER, NO ACCIDENTS",2016.0,105786.0,St. Albert,AB,Automatic,26907.0,7.0,49.0,0.18,0.0324,105.786,11190.677796,18398.77005292735,22534.216878428553,27030.646700816094,False,False
43,28704640,2011 Subaru Outback 4dr Wgn Auto 2.5i Limited Pwr Moon/Nav SOLD AS IS,2011.0,207000.0,Ottawa,ON,Manual,7050.0,12.0,144.0,0.13,0.016900000000000002,207.0,42849.0,5805.124838931872,8934.383031338737,12878.514901561633,False,False
44,24063633,2019 Subaru Outback Touring w/ Eyesight,2019.0,32877.0,Saint John,NB,Automatic,34888.0,4.0,16.0,0.21,0.04409999999999999,32.877,1080.8971290000002,28460.253049634404,34838.46134952117,39474.63833071032,False,False
45,28746386,2019 Subaru Outback Touring,2019.0,60447.0,Laval,QC,Automatic,29999.0,4.0,16.0,0.21,0.04409999999999999,60.447,3653.8398090000005,27630.196628148453,32673.936725558146,36986.44871993486,False,False
46,28953701,2010 Subaru Outback Top of the line,2010.0,264000.0,Terrace Heights,AB,Automatic,8900.0,13.0,169.0,0.12,0.0144,264.0,69696.0,2326.7261002198866,5674.412683337716,9166.32725843491,False,False
47,28735750,2013 Subaru Outback 2.5i Limited,2013.0,350275.0,St. Catherines,ON,Automatic,4995.0,10.0,100.0,0.15,0.0225,350.275,122692.57562499998,2705.1130715344334,7421.721330641238,10439.289129393197,False,False
48,28924941,2012 Subaru Outback,2012.0,230000.0,Sainte-Luce,QC,Automatic,12500.0,11.0,121.0,0.14,0.019600000000000003,230.0,52900.0,6292.795353232519,9217.09487675775,12986.531707358772,False,False
49,28798029,2011 Subaru Outback 2.5I LIMITED PWR MOON/NAV,2011.0,277878.0,Dartmouth,NS,Automatic,7700.0,12.0,144.0,0.13,0.016900000000000002,277.878,77216.182884,2933.2709942372385,6317.927221492959,9760.079142564035,False,False
50,27956018,2019 Subaru Outback Touring,2019.0,211700.0,Vineland,ON,Automatic,18900.0,4.0,16.0,0.21,0.04409999999999999,211.7,44816.88999999999,22357.220472598423,23672.330059264954,26530.893071960643,True,False
51,28984905,2023 Subaru Outback WILDERNESS | AWD | SUNROOF | PUSH TO START | HEATED SEATS & STEERING WHEEL | REAR CAMERA | APPLE CARPLAY | EYESIGHT | XMODE + MO,2023.0,0.0,Surrey,BC,Automatic,45190.0,0.0,0.0,0.25,0.0625,0.0,0.0,42574.46968808849,49349.798575263994,52963.61561525187,False,False
52,28879307,2012 Subaru Outback 3.6R w/Limited & Nav Pkg,2012.0,191000.0,Cambridge,ON,Automatic,12999.0,11.0,121.0,0.14,0.019600000000000003,191.0,36481.0,7806.768158139414,10921.424250359174,14996.703900740504,False,False
53,29032787,"2019 Subaru Outback 2.5i Touring EyeSight Package w/ Apple CarPlay, Sunroof, Cruise Control",2019.0,113475.0,Bedford,NS,Automatic,25990.0,4.0,16.0,0.21,0.04409999999999999,113.475,12876.575625,25920.030119425093,28964.727481468253,32705.54150362393,False,False
54,29028244,2019 Subaru Outback 3.6R Premier w-EyeSight Pkg >>Low mileage<<,2019.0,77542.0,Thornhill,ON,Automatic,29985.0,4.0,16.0,0.21,0.04409999999999999,77.542,6012.761764,27095.21148101939,31412.91842186416,35533.82156756469,False,False
55,29027144,2022 Subaru Outback Convenience EyeSight SIEGES.CHAUFFANTS+CARPLAY,2022.0,23650.0,Lachute,QC,Automatic,35951.0,1.0,1.0,0.24,0.0576,23.65,559.3224999999999,38311.310558635065,44122.80100132636,47854.09412894443,True,False
56,29030099,2018 Subaru Outback Touring,2018.0,113079.0,Cayuga,ON,Automatic,25995.0,5.0,25.0,0.2,0.04000000000000001,113.079,12786.860240999998,23140.10108970266,26502.826725386276,30511.104235326307,False,False
57,29001558,2010 Subaru Outback 3.6R w/Limited Pkg/Multimedia w/ Nav/R.Cam/Bluetooth/R.Starter,2010.0,128800.0,Edmonton,AB,Automatic,19995.0,13.0,169.0,0.12,0.0144,128.8,16589.440000000002,7473.790813302061,11987.77553710185,16585.29568081779,False,True
58,28930739,2019 Subaru Outback 2.5i Touring,2019.0,121662.0,Okotoks,AB,Automatic,31998.0,4.0,16.0,0.21,0.04409999999999999,121.662,14801.642244000002,25642.671741246417,28445.301725576297,32103.81248802297,False,False
59,29029125,2020 Subaru Outback Limited XT,2020.0,37722.0,Sarnia,ON,Automatic,38499.0,3.0,9.0,0.22,0.0484,37.722,1422.949284,31310.985799088958,37110.71950083598,41387.44582734184,False,False
60,28903768,2017 Subaru Outback,2017.0,128500.0,-,AB,,23000.0,6.0,36.0,0.19,0.0361,128.5,16512.25,20022.19472725669,23224.55558274602,27304.610955302585,False,False
61,26749594,2019 Subaru Outback 2.5i,2019.0,131031.0,Thunder Bay,ON,Automatic,25964.0,4.0,16.0,0.21,0.04409999999999999,131.031,17169.122961,25320.896264894564,27868.356882061235,31434.638309655467,False,False
62,28623657,2011 Subaru Outback 3.6R Limited,2011.0,192347.0,Woodbridge,ON,Automatic,10995.0,12.0,144.0,0.13,0.016900000000000002,192.347,36997.368409,6365.515395315102,9608.435327620544,13671.251822788094,False,False
63,28724227,2013 Subaru Outback 5dr Wgn 2.5i w/Limited Pkg,2013.0,271000.0,East Gwillimbury,ON,Automatic,8998.0,10.0,100.0,0.15,0.0225,271.0,73441.0,6204.702443501425,9199.488192733457,12649.889512831658,False,False
64,28866721,2010 Subaru Outback,2010.0,193000.0,Thomasburg,ON,Automatic,5600.0,13.0,169.0,0.12,0.0144,193.0,37249.0,5150.894524993135,8505.639410324475,12523.941738396614,False,False
65,28999636,2013 Subaru Outback 3.6R,2013.0,242400.0,Sherbrooke,QC,Automatic,7988.0,10.0,100.0,0.15,0.0225,242.4,58757.76,7385.2143629323255,10168.599120926461,13811.851591520586,False,False
66,29021872,2015 Subaru Outback 3.6R Limited Package,2015.0,93377.0,Thunder Bay,ON,Automatic,25559.0,8.0,64.0,0.17,0.028900000000000006,93.377,8719.264129,16615.29865618037,21412.39382112133,26188.862862105947,False,False
67,28466598,2021 Subaru Outback **5DR WGN 2.5 AWD TOURING SIEGES ELECTRIQUE**,2021.0,73512.0,St-Jean-sur-Richelieu,QC,Automatic,34495.0,2.0,4.0,0.23,0.0529,73.512,5404.014144,33410.49963287238,37210.22165574096,40735.32504705257,False,False
68,28793895,2023 Subaru Outback Onyx,2023.0,23161.0,Newmarket,ON,Automatic,43988.0,0.0,0.0,0.25,0.0625,23.161,536.4319210000001,41920.36441122704,47358.79478923063,50681.37788018856,False,False
69,28046163,2021 Subaru Outback TOURING CAM REC SIÈGE CHAUFF,2021.0,44050.0,Terrebonne,QC,Automatic,34887.0,2.0,4.0,0.23,0.0529,44.05,1940.4024999999997,34316.506154495844,39447.42782938551,43309.913768186656,False,False
70,29005088,"2011 Subaru Outback PREMIUM ~AUTOMATIC, FULLY CERTIFIED WITH WARRANTY!",2011.0,192276.0,Toronto,ON,Automatic,9990.0,12.0,144.0,0.13,0.016900000000000002,192.276,36970.060176000006,6368.202928984632,9611.812451332036,13675.216458682742,False,False
71,29021235,"2018 Subaru Outback TOURING; AWD, HEATED SEATS, BACKUP CAMERA, ANDROID AUTO, APPLE CARPLAY, BLUETOOTH",2018.0,97951.0,Langley,BC,Automatic,25997.0,5.0,25.0,0.2,0.04000000000000001,97.951,9594.398400999999,23642.909214447907,27501.367034505456,31666.063035419455,False,False
72,29026454,2022 Subaru Outback Limited,2022.0,14288.0,Saint-Jean-sur-Richelieu,QC,Automatic,41990.0,1.0,1.0,0.24,0.0576,14.288,204.14694400000002,38579.38744105768,44912.89631166873,48760.26472409571,False,False
73,29024494,2020 Subaru Outback Outdoor XT 2.4L Turbo Toit Bluetooth Carplay Mags,2020.0,42180.0,Sainte-Julie,QC,Automatic,34995.0,3.0,9.0,0.22,0.0484,42.18,1779.1524,31178.358714212787,36754.364917831655,40978.04369941567,False,False
74,28997095,2018 Subaru Outback TOURING AWD * BAS KM* TOIT SIÈGES CHAUFF CARPLAY,2018.0,79138.0,Saint-Jérôme,QC,Automatic,26995.0,5.0,25.0,0.2,0.04000000000000001,79.138,6262.823044000001,24251.21745104465,28810.97180337115,33177.783159264814,False,False
75,29004599,2023 Subaru Outback Onyx,2023.0,0.0,Edmonton,AB,Automatic,44102.0,0.0,0.0,0.25,0.0625,0.0,0.0,42574.46968808849,49349.798575263994,52963.61561525187,False,False
76,28843169,2011 Subaru Outback 2.5i Sport Limited Pkg AUCUN ACCIDENT TOIT OUVR.,2011.0,198701.0,Pincourt,QC,Automatic,8499.0,12.0,144.0,0.13,0.016900000000000002,198.701,39482.087401,6123.914576253039,9310.543365134909,13321.267254592283,False,False
77,28236205,2019 Subaru Outback Leather - Heated Seats/Wheel - Sunroof,2019.0,104298.0,Dartmouth,NS,Automatic,30204.0,4.0,16.0,0.21,0.04409999999999999,104.298,10878.072804000001,26226.690675513575,29563.89184222905,33398.85693947081,False,False
78,28525861,2021 Subaru Outback 2.4i Limited XT,2021.0,27507.0,Millbrook,NS,Automatic,43995.0,2.0,4.0,0.23,0.0529,27.507,756.6350490000001,34804.99563666301,40784.47403598299,44845.45391047334,False,False
79,28948506,2014 Subaru Outback 2.5i Premium,2014.0,156069.0,Montréal,QC,Automatic,12995.0,9.0,81.0,0.16,0.0256,156.069,24357.532760999995,12476.00089511952,15750.597638106541,20019.66219148851,False,False
80,28992214,2016 Subaru Outback 2.5i WITH LIMITED AND TECHNOLOGY PACKAGE,2016.0,133474.0,Brantford,ON,Automatic,20917.0,7.0,49.0,0.18,0.0324,133.474,17815.308675999997,17457.723382106087,20789.673599704904,25009.11603893085,False,False
81,29010743,2018 Subaru Outback 2.5i Limited with Eyesight Package,2018.0,97000.0,Quispamsis,NB,Automatic,26995.0,5.0,25.0,0.2,0.04000000000000001,97.0,9409.0,23674.110949238635,27565.76323117721,31740.47414034765,False,False
82,28865821,2015 Subaru Outback 3.6R Touring Package,2015.0,127669.0,Dartmouth,NS,Automatic,23195.0,8.0,64.0,0.17,0.028900000000000006,127.669,16299.373560999999,15466.405704008524,19185.39963815287,23611.386278311853,False,False
83,28986160,2019 Subaru Outback Limited Eyesight,2019.0,36601.0,Montreal,QC,Automatic,31800.0,4.0,16.0,0.21,0.04409999999999999,36.601,1339.6332009999999,28350.4948840579,34536.65598985114,39128.05784633578,False,False
84,28982536,2013 Subaru Outback 2.5i Touring | Camera | Heated Seats | 6-Speed |,2013.0,83252.0,Ottawa,ON,Manual,15997.0,10.0,100.0,0.15,0.0225,83.252,6930.895503999999,13159.836848762621,18735.484746647155,23807.29195369642,False,False
85,28994496,2020 Subaru Outback Touring Eyesight,2020.0,55809.0,Montreal,QC,Automatic,30800.0,3.0,9.0,0.22,0.0484,55.809,3114.644481,30766.33672126903,35691.10428683966,39755.53823717383,False,False
86,28525637,2006 Subaru Outback 2.5i~CERTIFIED~3 Years of Warranty~,2006.0,164967.0,Kitchener,ON,Automatic,8450.0,17.0,289.0,0.08,0.0064,164.967,27214.111089000005,3436.789953941101,7400.7689910352055,11125.264290436047,False,False
87,28793938,"2018 Subaru Outback LIMITED AWD w/ EYESIGHT, LEATHER, POWER/MEMORY SEATS, NAVIGATION, SUNROOF",2018.0,72488.0,Halifax,NS,Automatic,31990.0,5.0,25.0,0.2,0.04000000000000001,72.488,5254.510144,24461.739334331327,29291.877562099613,33732.14657517955,False,False
88,28974817,"2016 Subaru Outback 2,5i avec Groupe Limited",2016.0,157414.0,Longueuil,QC,Automatic,18600.0,7.0,49.0,0.18,0.0324,157.414,24779.167395999997,16611.198625316698,19412.58023531869,23407.231452483975,False,False
89,28798275,2020 Subaru Outback Convenience,2020.0,1.0,Melfort,SK,Automatic,26995.0,3.0,9.0,0.22,0.0484,0.001,1e-06,32390.89493018567,40295.001801775485,45039.51054013755,True,False
90,29008180,2019 Subaru Outback 2.5i Touring CVT,2019.0,83656.0,Edmonton,AB,CVT,33999.0,4.0,16.0,0.21,0.04409999999999999,83.656,6998.326336000001,26900.10190361721,30976.991376509206,35031.05378251092,False,False
91,28905817,2009 Subaru Outback 2.5iB - ACCIDENT FREE | LOW KMS | HEATED SEATS,2009.0,186843.0,Kamloops,BC,Automatic,8995.0,14.0,196.0,0.11,0.0121,186.843,34910.306649,4393.700283205326,7906.7881863972,11899.452508454859,False,False
92,28963761,2018 Subaru Outback 2.5i,2018.0,116675.0,Montreal,QC,Automatic,21800.0,5.0,25.0,0.2,0.04000000000000001,116.675,13613.055624999999,23018.79084722263,26272.62148427578,30244.518442114033,True,False
93,28995124,2016 Subaru Outback 2.5I W/LIMITED PKG,2016.0,108653.0,Dartmouth,NS,Automatic,21545.0,7.0,49.0,0.18,0.0324,108.653,11805.474409,18303.21993299833,22346.015645175044,26812.91789536327,False,False
94,28992351,2018 Subaru Outback 2.5i TOURING W/ EYE SIGHT - BACK-UP CAM! BSM! SUNR,2018.0,136941.0,Kitchener,ON,Automatic,23999.0,5.0,25.0,0.2,0.04000000000000001,136.941,18752.837481000002,22322.263834538695,25026.62436801287,28799.243375308055,False,False
