vip,title,year,kms,city,province,transmission,price
28889397,2019 Chevrolet Colorado 4WD Crew Cab,2019,145869.0,Edmonton,AB,Automatic,26999.0
29334196,2023 Chevrolet Colorado 2WD Work Truck,2023,0.0,Port Hope,ON,Automatic,37473.0
29700683,2008 Chevrolet Colorado Z85 LT,2008,84603.0,Arcola East-North Side,SK,Automatic,15500.0
29634046,2022 Chevrolet Colorado LT,2022,69900.0,Whitchurch-Stouffville,ON,Automatic,46000.0
29629052,2023 Chevrolet Colorado TRAIL BOSS,2023,0.0,Saint-Léonard,QC,Automatic,51130.0
29645333,2017 Chevrolet Colorado Black,2017,170000.0,Warden,QC,Automatic,35000.0
29625017,2022 Chevrolet Colorado Zr2,2022,26000.0,-,MB,,53000.0
29698439,2018 Chevrolet Colorado Redline,2018,254000.0,Mirabel,QC,Automatic,17000.0
29627276,2019 Chevrolet Colorado 4WD Z71,2019,162000.0,-,SK,Automatic,38000.0
28970949,2019 Chevrolet Colorado 4WD Ext Cab 128.3 LT,2019,233770.0,Edmonton,AB,Automatic,23950.0
29519482,2023 Chevrolet Colorado 4WD LT,2023,0.0,Saskatoon,SK,Automatic,54282.0
29583485,"2018 Chevrolet Colorado WT | Air Conditioning, Rear View Camera.",2018,157461.0,Prince Albert,SK,Automatic,29695.0
29421241,2016 Chevrolet Colorado WT 4WD EXT CAB 2.5L B.CAMERA/CANOPY,2016,188916.0,Calgary,AB,Automatic,18995.0
29334883,2017 Chevrolet Colorado WT,2017,140760.0,Greenwood,NS,Automatic,20998.0
29464249,2017 Chevrolet Colorado Work Truck,2017,198899.0,Calgary,AB,Automatic,18999.0
29425330,2022 Chevrolet Colorado ZR2,2022,26262.0,Claresholm,AB,Automatic,59000.0
29693607,2023 Chevrolet Colorado ZR2,2023,0.0,St. Catharines,ON,Automatic,78168.0
29695315,2023 Chevrolet Colorado TRAIL BOSS,2023,0.0,Guelph,ON,Automatic,52040.0
29691302,2019 Chevrolet Colorado CUSTOM CREW V6 4X4 *GR REMORQ* CARPLAY *USB* PROMO,2019,64340.0,Saint-Jérôme,QC,Automatic,33995.0
28370001,2020 Chevrolet Colorado ZR2,2020,108343.0,Lethbridge,AB,Automatic,44999.0
29573967,2019 Chevrolet Colorado ZR2 Apple Carplay Heated Strg Whl HD Tow Pkg,2019,51463.0,Calgary,AB,Automatic,46980.0
29390013,"2017 Chevrolet Colorado 4WD Z71 CREW 3.6 V6, Navigation, Heated Seats, Back-Up Camera, Power Seats, Running Boards, & More!",2017,59500.0,Guelph,ON,Automatic,40988.0
29699541,2016 Chevrolet Colorado WT,2016,81770.0,Toronto,ON,Manual,20500.0
29690815,2010 Chevrolet Colorado,2010,73000.0,-,AB,,20800.0
29626411,2018 Chevrolet Colorado 4WD LT,2018,146057.0,Barrie,ON,Automatic,29999.0
29662243,2005 Chevrolet Colorado,2005,122052.0,-,ON,Automatic,5000.0
25642594,"2020 Chevrolet Colorado LT CREWCAB 4X4 3.6 L, BTE COURTE, ACCIDENTÉ VGA",2020,38954.0,Notre-Dame-des-Pins,QC,Automatic,19995.0
29431109,2011 Chevrolet Colorado Cabine allongée 2 RM 125.9 po LT avec 1SA,2011,94000.0,Saint-Jean-Sur-Richelieu,QC,Automatic,11997.0
29639238,"2010 Chevrolet Colorado Ext Cab 4WD New Tires,",2010,118254.0,Regina,SK,,16890.0
29425326,2023 Chevrolet Colorado Z71,2023,0.0,Claresholm,AB,Automatic,56003.0
28595535,2021 Chevrolet Colorado Z71,2021,61653.0,Innisfail,AB,,47403.0
29538454,2022 Chevrolet Colorado 4WD Crew Cab Z71 | 4x4,2022,17365.0,Toronto,ON,,47995.0
