vip,title,year,kms,city,province,transmission,price
28763548,2020 Hyundai Kona EV ULTIMATE,2020,65549.0,Saint-Eustache,QC,Automatic,37888.0
28185738,2021 Hyundai Kona Preferred | Heated seats and steering wheel,2021,25014.0,Spruce Grove,AB,Automatic,41587.0
29700807,2020 Hyundai Kona Essential,2020,57815.0,Vaughan,ON,Automatic,23750.0
29639523,2021 Hyundai Kona Ultimate,2021,57152.0,Calgary,AB,Automatic,35000.0
29628725,2019 Hyundai Kona,2019,32000.0,Albanel,QC,Automatic,26000.0
29584730,2022 Hyundai Kona N w/ TURBOCHARGED / TOP MODEL / LOW KMS,2022,24340.0,Calgary,AB,Automatic,38990.0
29625027,2020 Hyundai Kona Ultimate,2020,17112.0,-,MB,Automatic,34000.0
28941140,2018 Hyundai Kona Essential AWD Heated Cloth Seats,2018,44571.0,Leduc,AB,Automatic,24892.0
29563019,2022 Hyundai Kona Preferred,2022,49245.0,Mount Pearl,NL,Automatic,43939.0
29260407,2021 Hyundai Kona Preferred **150kW 201 HP **8 PNEUS**,2021,51467.0,Lachine,QC,Automatic,35656.0
29692674,2023 Hyundai Kona N,2023,0.0,Mississauga,ON,Automatic,48738.0
28487058,2023 Hyundai Kona BASE,2023,0.0,Calgary,AB,Automatic,45590.0
29160153,2023 Hyundai Kona 1.6T AWD NLine Ultimate,2023,910.0,Longueuil,QC,Automatic,37173.0
29692672,2019 Hyundai Kona 2.0L PREFERRED AWD VOLANT CHAUFFANT VGA QUEBEC,2019,48398.0,Notre-Dame-des-Pins,QC,Automatic,11995.0
29693213,2021 Hyundai Kona Ultimate TA,2021,44957.0,Victoriaville,QC,Automatic,37777.0
29660741,2018 Hyundai Kona,2018,143000.0,-,QC,,14300.0
29627378,2019 Hyundai Kona,2019,49474.0,-,MB,,28500.0
29221338,2021 Hyundai Kona Trend,2021,27283.0,-,AB,Automatic,29000.0
29642442,2020 Hyundai Kona LUXURY! AWD! LEATHER! HEATEDSEAT! SUNROOF! CARPLAY,2020,33279.0,Moncton,NB,Automatic,28875.0
29631894,2022 Hyundai Kona PREFERRED EV w-Two-Tone Roof SIEGES VOLANT CHAUFF.,2022,14287.0,Chambly,QC,Automatic,40999.0
29146244,2022 Hyundai Kona N Line,2022,41780.0,Ajax,ON,Automatic,38955.0
29094197,2021 Hyundai Kona Preferred | Heated Front Seats,2021,72315.0,Edmonton,AB,Automatic,31954.0
29643369,2020 Hyundai Kona 2.0L Preferred AWD VOLANT CHAUFFANT,2020,61644.0,Sainte-Julie,QC,Automatic,24999.0
29630901,2023 Hyundai Kona Ultimate,2023,0.0,Cambridge,ON,Automatic,54511.0
29630771,2022 Hyundai Kona Preferred,2022,20573.0,Toronto,ON,Automatic,27998.0
29633516,2023 Hyundai Kona Preferred - No Accidents! Low Kms!,2023,9727.0,Edmonton,AB,Automatic,33974.0
29270964,2021 Hyundai Kona,2021,0.0,-,SK,,27495.0
29635091,2019 Hyundai Kona Trend,2019,26515.0,Boucherville,QC,Automatic,25990.0
29526776,2020 Hyundai Kona Luxury AWD I Sunroof I CarPlay,2020,73250.0,Orleans,ON,Automatic,25895.0
29633815,2021 Hyundai Kona Preferred,2021,41804.0,Ottawa,ON,Automatic,36995.0
29431862,2021 Hyundai Kona Preferred | AWD/BACKUP CAM/BLINDSPOT MONITOR/CROSS-TRAFFIC ALERT/ANDROID AUTO/HEATED SEATS,2021,70382.0,Sherwood Park,AB,Automatic,32000.0
29454715,2019 Hyundai Kona 2.0L Essential AWD,2019,134280.0,"RIMOUSKI,",QC,Automatic,22995.0
29641580,"2022 Hyundai Kona Ultimate | Fully-Loaded, 415KM Range, Electric, Low KMs",2022,10910.0,Maple Ridge,BC,Automatic,54799.0
29626463,2021 Hyundai Kona ULTIMATE + 100% ELECTRIQUE,2021,57572.0,Terrebonne,QC,Automatic,38995.0
29623528,2020 Hyundai Kona LUXURY | AWD | CLEAN CARFAX,2020,66812.0,Hamilton,ON,Automatic,26488.0
29687651,2022 Hyundai Kona PREFERRED,2022,3746.0,North Battleford,SK,Automatic,30897.0
29680994,"2019 Hyundai Kona Ultimate Leather, Navigation, Local Trade,",2019,43776.0,Regina,SK,Automatic,37995.0
29683249,2021 Hyundai Kona Trend,2021,29662.0,Whitby,ON,Automatic,29888.0
29139437,2019 Hyundai Kona Ultimate 1.6L AWD | Remote Start | Heated Steering | Heated Seats,2019,43873.0,Winnipeg,MB,Automatic,31198.0
29104120,2023 Hyundai Kona KONA PREF EV,2023,135.0,Hamilton,ON,Automatic,52900.0
29310044,2021 Hyundai Kona Preferred,2021,69497.0,Calgary,AB,Automatic,32739.0
29181211,2020 Hyundai Kona SEL,2020,76500.0,BROSSARD,QC,Automatic,23699.0
29673474,2019 Hyundai Kona 2.0L Preferred,2019,100420.0,Oshawa,ON,Automatic,21892.0
29481999,2023 Hyundai Kona N,2023,1750.0,-,AB,,45000.0
29473780,"2019 Hyundai Kona SE,AWD,Blind Spot,Camera,Bluetooth,Heated Seats*No Accident*Certified*",2019,166214.0,Mississauga,ON,Automatic,18988.0
29671060,2020 Hyundai Kona PREFERRED AWD SIEGES CHAUFFANTS CAMERA A/C MAGS,2020,29657.0,Saint-Laurent,QC,Automatic,26495.0
