vip,title,year,kms,city,province,transmission,price
28724984,2021 Mitsubishi RVR Heated Front Seats | Backup Camera,2021,58373.0,Grande Prairie,AB,Automatic,29652.0
29351044,2019 Mitsubishi RVR SE Black Edition,2019,60537.0,Coldbrook,NS,Automatic,22495.0
29478395,2011 Mitsubishi RVR,2011,200000.0,Toronto,ON,Automatic,2500.0
29460641,2011 Mitsubishi RVR GT,2011,238000.0,Fredericton,NB,Automatic,5995.0
29472935,2022 Mitsubishi RVR ES,2022,49000.0,Ottawa,ON,Automatic,23950.0
29464900,2020 Mitsubishi RVR ES/SE AUTO|CAM,2020,69879.0,Saint-Léonard,QC,Automatic,21995.0
29478472,2012 Mitsubishi RVR,2012,208000.0,Selkirk,MB,,1234567.0
29394625,2012 Mitsubishi RVR SE,2012,228000.0,Montréal,QC,Automatic,6995.0
29391362,2011 Mitsubishi RVR 4WD | BLUETOOTH | ALLOYS | KEYLESS | ROOF RACKS,2011,183520.0,Toronto,ON,Automatic,6998.0
29309759,2013 Mitsubishi RVR SE,2013,176294.0,Mirabel,QC,Automatic,9995.0
28917132,2020 Mitsubishi RVR SEL AWD TOUT EQUIPÉ SIEGES CHAUFFANT,2020,30792.0,Saint-Georges,QC,Automatic,27849.0
28915615,2014 Mitsubishi RVR SE | NO ACCIDENTS | 4WD | BLUETOOTH | POWER GROUP,2014,106555.0,Burlington,ON,Automatic,15988.0
29328313,2013 Mitsubishi RVR SE,2013,209900.0,Longueuil,QC,Automatic,5990.0
29431438,2015 Mitsubishi RVR SE,2015,96388.0,Kitchener,ON,Automatic,10500.0
29240333,"2015 Mitsubishi RVR SE CVT 4 portes, Encore garantie, Jamais accidenté",2015,133406.0,Repentigny,QC,CVT,13990.0
29423647,2014 Mitsubishi RVR GT 4X4 AUT/AC/CUIR/TOIT/CAMERA/BLUETOOTH/FINANCEMENT DISPO,2014,177960.0,Montreal,QC,Automatic,12900.0
29328264,2011 Mitsubishi RVR,2011,222000.0,-,AB,,7500.0
28965624,2012 Mitsubishi RVR GT AWD GARANTIE 1 ANS,2012,188000.0,Montreal,QC,Automatic,9195.0
29283868,2013 Mitsubishi RVR,2013,150000.0,-,ON,,9000.0
29420443,2019 Mitsubishi RVR SE Black Edition AWC + CAMÉRA DE RECUL + APPLE CAR,2019,61739.0,St-Hubert,QC,Automatic,24988.0
29024185,2020 Mitsubishi RVR SE,2020,76447.0,Calgary,AB,Automatic,28888.0
28882897,2021 Mitsubishi RVR SE AWC | HEATED SEATS | CARPLAY | BSM |S,2021,62683.0,Guelph,ON,Automatic,27337.0
