vip,title,year,kms,city,province,transmission,price
28389953,2017 Toyota Corolla LE AUTO,2017,82009.0,Saint-Léonard,QC,Automatic,18945.0
28023328,"2021 Toyota Corolla LE - Heated Seats, Sunroof",2021,77623.0,Saskatoon,SK,Automatic,27950.0
28468147,2018 Toyota Corolla Other,2018,81293.0,Chatham,ON,Automatic,20964.0
28471993,2010 Toyota Corolla,2010,138000.0,Markham,ON,Automatic,9000.0
28473561,2020 Toyota Corolla Hatchback SE,2020,56000.0,Mississauga,ON,Automatic,26999.0
28470438,2003 Toyota Corolla,2003,286000.0,North River,NS,Automatic,1500.0
28473313,2007 Toyota Corolla CE,2007,236400.0,Charlottetown,PE,Automatic,3200.0
28469789,2013 Toyota Corolla,2013,227000.0,-,ON,Automatic,9950.0
28431468,2018 Toyota Corolla IM,2018,78114.0,Owen Sound,ON,Automatic,20981.0
28397976,2021 Toyota Corolla SE,2021,32873.0,Timmins,ON,Automatic,27909.0
27850223,2022 Toyota Corolla,2022,13823.0,Ajax,ON,Automatic,31499.0
27435071,2020 Toyota Corolla LE Sunroof/Heated Seats!,2020,77492.0,Saskatoon,SK,Automatic,25945.0
28471984,2009 Toyota Corolla,2009,159000.0,Toronto,ON,Automatic,11000.0
28473540,2015 Toyota Corolla,2015,263.0,Toronto,ON,Manual,10500.0
28464098,2003 Toyota Corolla LE,2003,236000.0,Brampton,ON,Automatic,4700.0
28471188,2012 Toyota Corolla,2012,130745.0,Winnipeg,SK,Automatic,14500.0
27754170,2018 Toyota Corolla SE,2018,91096.0,Komoka,ON,Automatic,19999.0
28470101,2014 Toyota Corolla S,2014,80000.0,Toronto,ON,Automatic,17000.0
28464384,2004 Toyota Corolla CE,2004,299999.0,Toronto,ON,,3000.0
28464289,2010 Toyota Corolla,2010,223000.0,Oshawa,ON,,5000.0
28295200,2018 Toyota Corolla LE CVT,2018,83125.0,Brantford,ON,CVT,21998.0
27762594,2017 Toyota Corolla LE ECO - Safety Certified With Warranty!,2017,171778.0,Stoney Creek,ON,Automatic,16245.0
28404987,2012 Toyota Corolla L,2012,153700.0,Winnipeg,MB,Manual,9200.0
28345286,2017 Toyota Corolla Back up CAMER NEVER ACCIDENTED,2017,119000.0,Montreal,QC,,14200.0
27902307,2021 Toyota Corolla LE,2021,56345.0,Dartmouth,NS,Automatic,25495.0
28436860,2006 Toyota Corolla,2006,70000.0,Ridgeway,ON,Automatic,6300.0
23307771,2022 Toyota Corolla LE,2022,8220.0,London,ON,Automatic,26098.0
