vip,title,year,kms,city,province,price,transmission
28479588,2004 Toyota Corolla,2004,213213.0,La Prairie,QC,1500.0,
28426457,2015 Toyota Corolla LE,2015,130188.0,L'Île-Perrot,QC,15499.0,Automatic
28658098,2016 Toyota Corolla LE,2016,26500.0,Saint-Jean-sur-Richelieu,QC,18500.0,Automatic
28651271,2011 Toyota Corolla,2011,315000.0,-,ON,5000.0,
28651129,2011 Toyota Corolla LE,2011,192600.0,Saskatoon,SK,9500.0,Automatic
28657946,2005 Toyota Corolla,2005,27600.0,-,AB,4200.0,
28657375,2002 Toyota Corolla,2002,299999.0,-,AB,2500.0,
28658293,2017 Toyota Corolla LE,2017,76072.0,St. John's,NL,17000.0,Automatic
28659140,2002 Toyota Corolla,2002,300000.0,-,SK,3350.0,
28656042,2022 Toyota Corolla,2022,10000.0,Pierrefonds-Roxboro,QC,26800.0,Automatic
28616772,2022 Toyota Corolla SE - Safety Certified - Low Payments!,2022,58336.0,Stoney Creek,ON,28845.0,Automatic
28161881,2008 Toyota Corolla S toute equipe pnus dhiver deja installe,2008,168000.0,Montreal,QC,5500.0,Automatic
28657933,2003 Toyota Corolla 189000,2003,6.0,-,AB,6000.0,
28656066,2015 Toyota Corolla LE,2015,90500.0,-,ON,17500.0,Automatic
28656921,2015 Toyota Corolla S,2015,215000.0,Toronto,SK,13550.0,Automatic
28657342,2004 Toyota Corolla,2004,299999.0,East Saint Paul,MB,3000.0,
28651335,2009 Toyota Corolla XRS,2009,212000.0,-,AB,7700.0,
28655358,2004 Toyota Corolla Tissus,2004,218254.0,Shawinigan,QC,4200.0,Automatic
28657174,2009 Toyota Corolla,2009,212000.0,-,ON,7500.0,
28180808,2016 Toyota Corolla LE+ AUT0 A/C P/SUNROOF CRUSIE H/SEATS CAMERA,2016,126638.0,Toronto,ON,16990.0,Automatic
27839112,2022 Toyota Corolla,2022,22014.0,Hamilton,ON,29200.0,
28608830,2018 Toyota Corolla,2018,22222.0,Edmonton,AB,24988.0,Automatic
28656541,2006 Toyota Corolla,2006,246000.0,-,NB,3200.0,
28626808,2018 Toyota Corolla LE,2018,96952.0,Lethbridge,AB,18999.0,Automatic
28341593,2018 Toyota Corolla SE,2018,83256.0,Stouffville,ON,19999.0,Automatic
28215041,2016 Toyota Corolla S Auto Cuir Cam Bluetooth Sièges Chauffants,2016,58546.0,Laval,QC,20991.0,Automatic
28416189,2018 Toyota Corolla LE,2018,80900.0,Edmonton,AB,24225.0,Automatic
28390732,2021 Toyota Corolla SE,2021,47215.0,Penticton,BC,29800.0,
28633466,2009 Toyota Corolla,2009,225000.0,-,ON,4000.0,
27713362,2017 Toyota Corolla 4dr Sdn CVT SE,2017,50100.0,Lethbridge,AB,16995.0,CVT
25601578,2019 Toyota Corolla Other,2019,79000.0,Truro,NS,24999.0,Automatic
28150813,2013 Toyota Corolla CE,2013,87114.0,Komoka,ON,14999.0,Automatic
28571211,2018 Toyota Corolla SE CVT,2018,71500.0,Oshawa,ON,19490.0,CVT
28436577,"2014 Toyota Corolla CE, BAS KILOMÉTRAGE!",2014,54894.0,Saint-Basile le-Grand,QC,15995.0,Automatic
28602453,2004 Toyota Corolla,2004,96983.0,-,ON,4000.0,
28051646,2019 Toyota Corolla LE,2019,102040.0,Wetaskiwin,AB,23988.0,Automatic
28403283,1988 Toyota Corolla SR5,1988,155000.0,Longueuil,QC,9999.0,Automatic
28523108,2017 Toyota Corolla LE,2017,33543.0,Calgary,AB,17700.0,Automatic
27777707,2020 Toyota Corolla LE CVT,2020,71956.0,Truro,NS,21495.0,CVT
28508235,2016 Toyota Corolla 4dr Sdn S,2016,150999.0,Toronto,ON,17450.0,Automatic
28308927,2022 Toyota Corolla LE - SIEGES CHAUFFANTS - BLUETOOTH,2022,17687.0,Québec City,QC,28433.0,Automatic
28640070,2011 Toyota Corolla,2011,180557.0,-,ON,7000.0,
25852135,2018 Toyota Corolla CRUISE/BLUETOOTH/CAMERA/54000KM!,2018,54000.0,Saint-Léonard,QC,16995.0,Automatic
28643711,2017 Toyota Corolla LE,2017,111771.0,-,AB,16499.0,Automatic
28657039,2011 Toyota Corolla CE | 5-Spd | A/C | Keyless | CD | AM/FM,2011,86526.0,Truro,NS,11987.0,Manual
28657252,2010 Toyota Corolla Automatique,2010,65000.0,Laval,QC,12995.0,Automatic
28655603,2020 Toyota Corolla LE CVT,2020,113662.0,Ottawa,ON,22985.0,CVT
28655410,2019 Toyota Corolla LE,2019,34988.0,Ottawa,ON,24995.0,Automatic
28617550,2013 Toyota Corolla LE,2013,122000.0,Waterloo,ON,13990.0,Automatic
28278909,2021 Toyota Corolla L,2021,66882.0,Saskatoon,SK,27794.0,Automatic
27636765,2022 Toyota Corolla AWD | 3M | HEATD SEATS | NO ACCIDENT | ONE OWNER,2022,7086.0,Sherwood Park,AB,44500.0,Automatic
27924741,2009 Toyota Corolla LE,2009,175000.0,Montreal,QC,7990.0,Automatic
28648007,2005 Toyota Corolla CE,2005,1.0,Mississauga,ON,5500.0,
28572380,2012 Toyota Corolla Cruise Control * Steering Wheel Controls * AM/FM/Bluetooth/Aux * Keyless Entry * Traction Control * Power Locks * Power Windows,2012,83298.0,Cambridge,ON,11995.0,Automatic
28631798,2007 Toyota Corolla Other,2007,99471.0,Levis,QC,6995.0,Automatic
28647831,2020 Toyota Corolla SE,2020,41060.0,-,QC,25500.0,
28602861,2016 Toyota Corolla LE,2016,122260.0,Ottawa,ON,13995.0,Automatic
28634892,2017 Toyota Corolla SE,2017,71580.0,-,AB,19500.0,Automatic
28494330,"2014 Toyota Corolla LE, AUTOMATIQUE, CAMÉRA DE RECUL, A/C, BLUETOOTH",2014,92736.0,Saint-Hubert,QC,14980.0,Automatic
28526015,2022 Toyota Corolla Base,2022,42560.0,Moncton,NB,31555.0,
28656599,2010 Toyota Corolla,2010,100000.0,Mirabel,QC,1999.0,
28639505,2017 Toyota Corolla SE Sport,2017,71500.0,-,AB,19500.0,Automatic
28390061,2012 Toyota Corolla XRS,2012,119581.0,Beloeil,QC,10995.0,Manual
28455161,2014 Toyota Corolla LE,2014,152200.0,Etobicoke,ON,13990.0,Automatic
28614139,2010 Toyota Corolla Le,2010,69148.0,Quebec,QC,9855.0,Automatic
28657831,2010 Toyota Corolla,2010,116418.0,-,QC,9400.0,
28357682,2018 Toyota Corolla,2018,106812.0,Winnipeg,MB,19988.0,
27895692,2019 Toyota Corolla SE,2019,115638.0,Brampton,ON,23090.0,Automatic
28655942,2006 Toyota Corolla SE,2006,122000.0,-,QC,6200.0,
28659295,2015 Toyota Corolla LE,2015,152000.0,Richmond Hill,ON,15550.0,Automatic
27468036,2019 Toyota Corolla NO ACCIDENT| LE |R.CAM |H.SEATS |ADAPTED CRUISE |L.ASSIST,2019,108030.0,Barrie,ON,19995.0,Automatic
28657783,2017 Toyota Corolla XSE,2017,156000.0,-,NS,19995.0,
28635379,2003 Toyota Corolla,2003,163000.0,-,ON,3600.0,
28609009,2014 Toyota Corolla,2014,140000.0,Toronto,ON,13000.0,Automatic
28659472,2021 Toyota Corolla SE,2021,0.0,-,ON,28000.0,
28162668,2006 Toyota Corolla,2006,136558.0,Mississauga,ON,6000.0,Automatic
28246332,2020 Toyota Corolla LE,2020,86362.0,Moncton,NB,25537.0,Automatic
27310813,2017 Toyota Corolla SE 4dr Sdn CVT SE,2017,67769.0,Ottawa,ON,22995.0,CVT
28386846,2007 Toyota Corolla,2007,160000.0,Owen Sound,ON,4000.0,
28489761,2016 Toyota Corolla S- SPORT- ONTARIO VEHICLE- CERTIFIED,2016,112014.0,Burlington,ON,17495.0,Automatic
28604426,2010 Toyota Corolla Ce,2010,253000.0,-,ON,7250.0,
28326799,2017 Toyota Corolla SE,2017,63748.0,North York,ON,19995.0,Automatic
