vip,title,year,kms,city,province,transmission,price,age,age_sq,year_norm,year_norm_sq,kms_norm,kms_norm_sq,10th Quantile,50th Quantile,90th Quantile,cheap,expensive
28602853,2014 Subaru Outback 5dr Wgn Auto 3.6R,2014,175852,Toronto,ON,Automatic,15500,10,100,0.16,0.0256,175.852,30923.925904,11386.7970634789,14537.5472395317,18682.8222042585,False,False
29182925,2021 Subaru Outback 2.4i Outdoor XT AWD / Sunroof,2021,101201,Guelph,ON,Automatic,37888,3,9,0.23,0.0529,101.201,10241.642401,30403.6270640782,34646.7077616161,37893.6837764152,False,False
29608993,2016 Subaru Outback TOURING AWD Toit Ouvrant+Bluetooth+Camera+Sieges Chauffants,2016,38019,Laval,QC,Automatic,21995,8,64,0.18,0.0324,38.019,1445.444361,20846.7774869551,27598.4540345842,32813.6593559219,False,False
29627862,2003 Subaru Outback -,2003,224826,Edmonton,AB,Automatic,5000,21,441,0.05,0.0025,224.826,50546.730276,244.914458764004,4658.82869437324,8011.2803321934,False,False
29560331,2020 Subaru Outback 2.5i Convenience,2020,36516,Ottawa,ON,Automatic,28998,4,16,0.22,0.0484,36.516,1333.418256,30347.341588426,36895.2483032676,41119.4120392931,True,False
29638641,2013 Subaru Outback Limited Package,2013,199000,Calgary,AB,Automatic,14500,11,121,0.15,0.0225,199,39601,8812.77848979936,11801.2276557017,15829.1908444815,False,False
29629119,2006 Subaru Outback,2006,300000,-,AB,Manual,2500,18,324,0.08,0.0064,300,90000,-2165.98268599358,1893.97716871931,4898.66912871703,False,False
29631363,2020 Subaru Outback Limited,2020,53269,Lower Sackville,NS,Automatic,38995,4,16,0.22,0.0484,53.269,2837.586361,29642.4360638617,35525.7554588746,39581.4617833646,False,False
29633000,2010 Subaru Outback Premium,2010,247987,Saint-Léonard,QC,Automatic,5995,14,196,0.12,0.0144,247.987,61497.552169,2902.66671559913,6046.70692850395,9754.46319093994,False,False
29391283,2020 Subaru Outback Premier XT AWD | FULLY LOADED | HEAT/COOL LEATHER | 260 HP,2020,50476,Regina,SK,Automatic,41995,4,16,0.22,0.0484,50.476,2547.826576,29759.7404573932,35750.0328449105,39833.8500424593,False,True
28920904,2019 Subaru Outback Limited,2019,78132,Cayuga,ON,Automatic,31595,5,25,0.21,0.0441,78.132,6104.609424,26001.7318238843,31052.5533051967,35152.9716821948,False,False
29627473,2022 Subaru Outback Wilderness,2022,114042,-,MB,,38990,2,4,0.24,0.0576,114.042,13005.577764,32793.7521976453,36651.9367912854,39414.7845579664,False,False
29635296,2011 Subaru Outback,2011,228000,-,QC,,5800,13,169,0.13,0.0169,228,51984,4855.57938448423,7898.44441433216,11780.2427451861,False,False
29635098,2013 Subaru Outback,2013,241000,Saint-Jérôme,QC,Automatic,7499,11,121,0.15,0.0225,241,58081,7126.65056923431,9891.80251792705,13487.5347511037,False,False
29636283,2017 Subaru Outback Touring Package,2017,50300,Kentville,NS,Automatic,25000,7,49,0.19,0.0361,50.3,2530.09,22448.2739290243,28630.4951788748,33514.568341787,False,False
28609195,"2018 Subaru Outback TOLURING: PANORAMIC ROOF, AWD, AUTOMATIC, HEATED SEATS, AIR!",2018,121362,Spruce Grove,AB,Automatic,25229,6,36,0.2,0.04,121.362,14728.735044,21769.2927235217,25632.1241597898,29560.8170275571,False,False
29620420,2018 Subaru Outback,2018,70000,-,AB,,31200,6,36,0.2,0.04,70,4900,23901.6610356887,29290.2468818432,33738.9166106056,False,False
29629563,2020 Subaru Outback Premier XT,2020,73700,Red Deer,AB,Automatic,38900,4,16,0.22,0.0484,73.7,5431.69,28786.9613207497,33934.3088622714,37784.0625380141,False,True
29626315,2017 Subaru Outback 2.5i Touring w/Tech Pkg,2017,270000,Kingston,NS,Automatic,14900,7,49,0.19,0.0361,270,72900,13483.2573960236,15917.7998272102,18558.6041176892,False,False
29202495,2023 Subaru Outback Onyx AWD | LEATHER | ROOF | REAR HTD SEATS |S,2023,22302,Guelph,ON,Automatic,42998,1,1,0.25,0.0625,22.302,497.379204,39712.4843106371,46766.8642784293,50071.8910865476,False,False
29071705,2020 Subaru Outback Touring,2020,45300,Oakville,ON,Automatic,34999,4,16,0.22,0.0484,45.3,2052.09,29977.3568470934,36169.938096806,40305.8227105987,False,False
29638065,2011 Subaru Outback 3.6R w/Limited Pkg,2011,197500,Dartmouth,NS,Automatic,7500,13,169,0.13,0.0169,197.5,39006.25,6082.46721503259,9330.86956720214,13526.2520644804,False,False
29571253,2019 Subaru Outback 2.5i Limited,2019,56630,Ottawa,ON,Automatic,27998,5,25,0.21,0.0441,56.63,3206.9569,26901.1271844834,32710.0636879975,37027.3436700934,False,False
29626252,2012 Subaru Outback,2012,202993,-,MB,Automatic,13500,12,144,0.14,0.0196,202.993,41206.158049,7175.87325301744,10246.2973608469,14323.9099583465,False,False
28983576,"2016 Subaru Outback NAV, LEATHER, NO ACCIDENTS",2016,105786,St. Albert,AB,Automatic,24907,8,64,0.18,0.0324,105.786,11190.677796,18015.5668263582,22438.0345453838,26969.3530461834,False,False
29628120,2014 Subaru Outback,2014,270000,-,ON,,8800,10,100,0.16,0.0256,270,72900,7610.17759727268,10314.4244464076,13490.4312233299,False,False
29306460,2019 Subaru Outback Touring,2019,78500,Mississauga,ON,Automatic,32250,5,25,0.21,0.0441,78.5,6162.25,25986.383317271,31025.0193541504,35121.7207925513,False,False
29620173,2010 Subaru Outback 3.6R w/Limited Pkg,2010,202000,Calgary,AB,Automatic,9500,14,196,0.12,0.0144,202,40804,4746.32472744637,8089.80870178827,12271.136287745,False,False
29527457,2012 Subaru Outback 3.6R/Limited/factory remote starter,2012,164631,Calgary,AB,Automatic,17900,12,144,0.14,0.0196,164.631,27103.366161,8731.25507825094,12277.9847705547,16748.5190402376,False,True
28810191,2010 Subaru Outback Premium,2010,249367,Quebec,QC,Automatic,6995,14,196,0.12,0.0144,249.367,62183.900689,2847.70165614452,5992.16876539894,9685.66985033085,False,False
29455309,2020 Subaru Outback Touring | LED Headlamps | Sunroof,2020,21470,Calgary,AB,Automatic,40999,4,16,0.22,0.0484,21.47,460.9609,30983.0600635196,38174.7695405435,42549.9039773674,False,False
29347170,2018 Subaru Outback Limited 3.6R,2018,100000,Innisfail,AB,Automatic,31000,6,36,0.2,0.04,100,10000,22652.6347166464,27087.1805955605,31232.5689418237,False,False
29623165,2009 Subaru Outback 2.5i,2009,132055,Montréal,QC,Automatic,7995,15,225,0.11,0.0121,132.055,17438.523025,6601.3385370113,11189.8624915037,16088.8976479408,False,False
29555596,2017 Subaru Outback Touring Package,2017,60000,Montréal,QC,Automatic,19090,7,49,0.19,0.0361,60,3600,22041.2299964482,27858.1744592749,32644.5766349649,True,False
29096349,2009 Subaru Outback 3.0R Premier,2009,238400,London,ON,Automatic,5500,15,225,0.11,0.0121,238.4,56834.56,2291.25519426767,5588.9230544547,9398.51988003032,False,False
29419913,2012 Subaru Outback Limited Package,2012,203000,Richmond Hill,ON,Automatic,6800,12,144,0.14,0.0196,203,41209,7175.59091951151,10245.954460531,14323.4951798541,True,False
29560343,2012 Subaru Outback —————//////,2012,307265,Toronto,ON,Automatic,5460,12,144,0.14,0.0196,307.265,94411.780225,3030.16210082145,6264.82703570709,9264.42052893875,False,False
29623658,2023 Subaru Outback Premier XT,2023,22567,Winnipeg,MB,Automatic,49995,1,1,0.25,0.0625,22.567,509.269489,39701.2684601474,46743.9683854165,50046.3385396834,False,False
29520635,2018 Subaru Outback Limited,2018,144430,Hamilton,ON,Automatic,23555,6,36,0.2,0.04,144.43,20860.0249,20821.0553381599,24167.0495780492,27861.05111994,False,False
29436180,2013 Subaru Outback 2.5i Touring,2013,154220,Montreal,QC,Automatic,13995,11,121,0.15,0.0225,154.22,23783.8084,10631.9326739494,14239.6439853461,18725.8306368719,False,False
29595619,2012 Subaru Outback 3.6R Limited Package,2012,275103,Dartmouth,NS,Automatic,5995,12,144,0.14,0.0196,275.103,75681.660609,4296.09491579266,7252.6066518359,10586.2698036753,False,False
29619129,2007 Subaru Outback,2007,250000,-,AB,,5500,17,289,0.09,0.0081,250,62500,322.906834625115,3934.72375897108,7542.56200685737,False,False
29624205,2016 Subaru Outback (GARANTIE 2 ANS INCLUS),2016,130800,Laval,QC,Automatic,18995,8,64,0.18,0.0324,130.8,17108.64,16983.3097886742,20773.6786052978,25050.9993887719,False,False
29605865,2010 Subaru Outback,2010,311000,Magog,QC,Automatic,2500,14,196,0.12,0.0144,311,96721,414.282295585923,3958.77168150176,7012.9983157502,False,False
29413008,2013 Subaru Outback 2.5i Touring,2013,188700,Brampton,ON,Automatic,9850,11,121,0.15,0.0225,188.7,35607.69,9229.25068384602,12325.3017976368,16458.9016972784,False,False
29338851,2011 Subaru Outback 2.5i,2011,164000,-,QC,,7500,13,169,0.13,0.0169,164,26896,7441.85080320782,11126.3156525639,15664.6827653458,False,False
29199262,2016 Subaru Outback 2.5i w/Limited Pkg,2016,120323,Edmonton,AB,Automatic,24250,8,64,0.18,0.0324,120.323,14477.624329,17414.8264098829,21455.0072159798,25838.8163573231,False,False
29297805,2012 Subaru Outback Touring TOIT.OUVRANT+SIEGES.CHAUFFANTS,2012,151696,Lachute,QC,Automatic,9964,12,144,0.14,0.0196,151.696,23011.676416,9259.36033630028,13031.7783923557,17634.3521665817,False,False
28053654,2010 Subaru Outback 3.6R w/Limited Pkg 4WD +toît+cuir+bancs chauffants,2010,203500,Mirabel,QC,Automatic,7957,14,196,0.12,0.0144,203.5,41412.25,4685.82061415234,8016.2534476119,12182.1790652063,False,False
29187587,2005 Subaru Outback I,2005,257960,Toronto,ON,Manual,6950,19,361,0.07,0.0049,257.96,66543.3616,-856.853761190847,3124.0415300794,6450.5805930384,False,True
29623538,2008 Subaru Outback,2008,92000,-,QC,,3500,16,256,0.1,0.01,92,8464,7423.865329662,13229.4826982767,18508.5328045737,True,False
29395443,2019 Subaru Outback Premier with EyeSight,2019,56662,Orillia,ON,Automatic,32900,5,25,0.21,0.0441,56.662,3210.582244,26899.7848869038,32707.5257452768,37024.483449327,False,False
29567787,2016 Subaru Outback AWD,2016,214000,-,QC,Manual,11000,8,64,0.18,0.0324,214,45796,13599.5101142515,16170.5895311,19597.015596783,True,False
29349710,2015 Subaru Outback Lux Nav Tech,2015,106700,Toronto,ON,Automatic,19898,9,81,0.17,0.0289,106.7,11384.89,16020.0339444422,20507.1458314464,25207.5990363933,False,False
29262848,2008 Subaru Outback,2008,155439,-,ON,Automatic,7000,16,256,0.1,0.01,155.439,24161.282721,4809.71241597192,9079.77503111092,13714.1877485537,False,False
29569588,2011 Subaru Outback Limited Package,2011,269000,Saint-Paul,QC,Automatic,3000,13,169,0.13,0.0169,269,72361,3222.47949732613,6276.60397811654,9734.88869393424,True,False
29591133,2009 Subaru Outback 2.5i w/Limited Pkg,2009,162095,Markham,ON,Automatic,8999,15,225,0.11,0.0121,162.095,26274.789025,5371.2046021507,9370.24582087243,13963.0835788206,False,False
29158837,2018 Subaru Outback 4WD,2018,126000,Downtown,AB,Automatic,28750,6,36,0.2,0.04,126,15876,21578.1710775675,25328.7036868984,29210.2676126612,False,False
28940628,2021 Subaru Outback Touring,2021,51502,Hamilton,ON,Automatic,36900,3,9,0.23,0.0529,51.502,2652.456004,32477.544269706,38385.4431942185,42134.2663222997,False,False
28828164,2019 Subaru Outback Touring 3.6L AWD | Heated Seats | Adaptive Cruise Control,2019,45912,Winnipeg,MB,Automatic,37198,5,25,0.21,0.0441,45.912,2107.911744,27351.3480933478,33572.0529582454,37997.198348391,False,False
29548070,2013 Subaru Outback 3.6r,2013,199225,-,AB,Automatic,9000,11,121,0.15,0.0225,199.225,39690.600625,8803.69384993944,11790.0247810227,15815.6787769157,False,False
29344829,2011 Subaru Outback 2.5l,2011,172000,-,ON,,6000,13,169,0.13,0.0169,172,29584,7116.09738742909,10676.417222826,15133.0149473032,True,False
29485354,2007 Subaru Outback 2.5L,2007,254965,-,QC,Automatic,3100,17,289,0.09,0.0081,254.965,65007.151225,125.360410178168,3742.41997903074,7298.94512835232,False,False
29588677,2011 Subaru Outback,2011,301600,-,ON,,4500,13,169,0.13,0.0169,301.6,90962.56,1937.19180301998,5235.62598029288,8355.54985461723,False,False
29418308,2022 Subaru Outback Limited XT,2022,9000,Northeast Edmonton,AB,Automatic,45000,2,4,0.24,0.0576,9,81,37194.2824721513,44876.7855258391,48698.2208489276,False,False
29568712,2012 Subaru Outback Touring Package,2012,120000,Memramcook,NB,Automatic,14499,12,144,0.14,0.0196,120,14400,10561.2303270216,15025.4392235935,19950.6106847893,False,False
29615689,2007 Subaru Outback 2.5i w/Limited Pkg 5dr Wgn Auto 2.5i w/Limited Pkg,2007,291000,Oro Medonte,ON,,3999,17,289,0.09,0.0081,291,84681,-1300.24895176808,2499.78466879516,5682.89438239755,False,False
29280756,2018 Subaru Outback 3.6R,2018,119978,DARTMOUTH,NS,Automatic,25900,6,36,0.2,0.04,119.978,14394.720484,21826.3702213652,25723.5296705512,29666.280413066,False,False
29584563,2017 Subaru Outback 3.6R Limited w/Tech Pkg | AWD | LEATHER | SUNROOF | HEATED SEATS | REAR CAMERA + MORE!,2017,114171,Surrey,BC,Automatic,29997,7,49,0.19,0.0361,114.171,13035.017241,19787.1086500537,23903.5066702787,28142.1214874857,False,True
29305393,2016 Subaru Outback 2.5i,2016,152243,London,ON,Automatic,17500,8,64,0.18,0.0324,152.243,23177.931049,16103.9090019421,19450.1340292687,23509.0469391178,False,False
29516108,2006 Subaru Outback -FRESH TRADE IN- MANUAL- CERTIFIED,2006,190000,Toronto,ON,Manual,5999,18,324,0.08,0.0064,190,36100,2219.74924939122,6325.03135260744,10465.4607898529,False,False
29118660,2010 Subaru Outback,2010,175000,-,ON,,4800,14,196,0.12,0.0144,175,30625,5839.64044386661,9493.52643981089,13951.5712299255,True,False
29486129,2009 Subaru Outback,2009,246000,-,ON,,4999,15,225,0.11,0.0121,246,60516,1988.00638642127,5278.36811278769,9009.5244659681,False,False
29613770,2009 Subaru Outback,2009,240000,-,NB,,2000,15,225,0.11,0.0121,240,57600,2227.36042237483,5522.54846977192,9315.6379768876,True,False
29566888,2008 Subaru Outback,2008,300000,-,QC,,3900,16,256,0.1,0.01,300,90000,-981.516781189683,2738.90117402367,5884.10273905484,False,False
28205458,2019 Subaru Outback Limited | Heated Seats | Sunroof,2019,123758,Grande Prairie,AB,Automatic,31851,5,25,0.21,0.0441,123.758,15316.042564,24110.1497270679,27852.7281895527,31490.9161302287,False,True
27430880,2011 Subaru Outback 2.5i LIMITED AWD BLUETOOTH PWR HEAT LEATHER SUNROOF PARK ASSIST...MINT,2011,211000,Toronto,ON,Automatic,11500,13,169,0.13,0.0169,211,44521,5538.153441551,8673.06823555413,12729.8057424996,False,False
29501595,2015 Subaru Outback 2.5i,2015,173000,Scarborough,ON,Automatic,16950,9,81,0.17,0.0289,173,29929,13299.7769870716,16391.891538814,20417.1947502286,False,False
29278070,2010 Subaru Outback,2010,241200,-,ON,,6800,14,196,0.12,0.0144,241.2,58177.44,3173.29679168171,6320.67464018706,10098.5021889387,False,False
29495362,2004 Subaru Outback,2004,340000,-,ON,,3000,20,400,0.06,0.0036,340,115600,-4269.61713833664,739.539030778331,3069.67077334872,False,False
29427952,2011 Subaru Outback Limited Package,2011,208000,North Bay,ON,Automatic,3800,13,169,0.13,0.0169,208,43264,5658.93842197442,8815.98278796751,12903.5515067094,True,False
29161318,"2008 Subaru Outback 2,5i avec Groupe Limited",2008,260000,Mirabel,QC,Automatic,4777,16,256,0.1,0.01,260,67600,597.860528938181,4060.10282353557,7620.18551881499,False,False
29483556,2014 Subaru Outback 2.5i Premium,2014,214000,Laval,QC,Automatic,7499,10,100,0.16,0.0256,214,45796,9844.76597161547,12605.0447428334,16359.0188624592,True,False
28974548,"2017 Subaru Outback 3.6 PREMIER W/TECH PKG; SUNROOF, AWD, HEATED SEATS/WHEEL, LEATHER, NAV, HARMON/KARDON, BACKUP CAMERA, BLIND SPOT, SMART KEY, APP",2017,106475,Langley,BC,Automatic,27497,7,49,0.19,0.0361,106.475,11336.925625,20105.3770161271,24428.2847680766,28744.9638643064,False,False
29602190,2019 Subaru Outback 2.5i,2019,86791,Lethbridge,AB,Automatic,29900,5,25,0.21,0.0441,86.791,7532.677681,25640.9788658372,30412.1203335896,34425.0312006312,False,False
29512229,2020 Subaru Outback Touring,2020,58977,Grande Prairie,AB,Automatic,37392,4,16,0.22,0.0484,58.977,3478.286529,29402.9708218271,35072.4313522355,39070.655351252,False,False
28992351,2018 Subaru Outback 2.5i TOURING W/ EYE SIGHT - BACK-UP CAM! BSM! SUNR,2018,136941,Kitchener,ON,Automatic,23999,6,36,0.2,0.04,136.941,18752.837481,21128.2564077797,24630.596798623,28400.8691860759,False,False
29420581,2017 Subaru Outback,2017,160000,-,AB,,23500,7,49,0.19,0.0361,160,25600,17905.3701878653,21032.6394234387,24804.7363646497,False,False
29592234,2011 Subaru Outback,2011,151331,Calgary,AB,Automatic,7500,13,169,0.13,0.0169,151.331,22901.071561,7959.16546984274,11865.9152977138,16533.5981091801,True,False
29165651,2018 Subaru Outback Touring,2018,310305,Regina,SK,Automatic,13500,6,36,0.2,0.04,310.305,96289.193025,14175.326567638,16879.1820750852,18864.4825767209,True,False
29605670,2019 Subaru Outback Premier model,2019,23800,-,ON,Automatic,36000,5,25,0.21,0.0441,23.8,566.44,28284.187551692,35425.6082920673,40072.7988395426,False,False
29319144,2009 Subaru Outback PZEV Plus,2009,345000,Williams Lake,BC,Automatic,5200,15,225,0.11,0.0121,345,119025,-1904.03535789272,2326.35424698405,5028.61295847018,False,True
29310993,2018 Subaru Outback Touring,2018,1,Peace River,AB,Automatic,26777,6,36,0.2,0.04,0.001,0.000001,26854.5989656814,35155.870787558,40307.4728706523,True,False
29602239,2023 Subaru Outback 2.4L Limited XT Turbo,2023,11328,Vaughan,ON,Automatic,47954,1,1,0.25,0.0625,11.328,128.323584,40177.6273561205,47727.791613869,51142.7509045471,False,False
28972250,2018 Subaru Outback 2.5i Touring,2018,124132,Lower Sackville,NS,Automatic,24900,6,36,0.2,0.04,124.132,15408.753424,21655.1186730582,25450.3731753709,29350.9222295904,False,False
29119576,2015 Subaru Outback LIMITED,2015,156000,Saint-Jean-sur-Richelieu,QC,Automatic,15995,9,81,0.17,0.0289,156,24336,13992.6589534679,17360.2545601991,21559.2375801923,False,False
29472963,2011 Subaru Outback,2011,210000,Victoria,BC,Automatic,8400,13,169,0.13,0.0169,210,44100,5578.40407719019,8720.49921199121,12787.5151364526,False,False
29561600,2019 Subaru Outback 3.6R Premier Eyesight CVT,2019,70150,Waterloo,ON,CVT,33950,5,25,0.21,0.0441,70.15,4921.0225,26335.0116588336,31656.6758545781,35837.6705519663,False,False
29449660,2011 Subaru Outback 2.5i Prem AWP/Pwr Moon,2011,201977,Roblin,ON,Manual,9000,13,169,0.13,0.0169,201.977,40794.708529,5901.73396719991,9108.53797708342,13257.9688925802,False,False
29572038,"2021 Subaru Outback OUTDOOR XT, CUIR CHAUF 2 TONS, EYESIGHT, MAG18",2021,18608,Notre-Dame-des-Pins,QC,Automatic,16995,3,9,0.23,0.0529,18.608,346.257664,33865.1720474953,41141.4515729852,45220.5997898024,True,False
29560662,"2014 Subaru Outback 2,5i avec Groupe Limited",2014,70500,Beauport,QC,Automatic,15895,10,100,0.16,0.0256,70.5,4970.25,15728.7047799392,21440.7561813388,26656.4916765363,False,False
24063633,2019 Subaru Outback Touring w/ Eyesight,2019,32877,Saint John,NB,Automatic,33888,5,25,0.21,0.0441,32.877,1080.897129,27900.6037392109,34652.4635433441,39208.5839954697,False,False
29566650,2010 Subaru Outback 2.5,2010,243058,Ottawa,ON,Automatic,7800,14,196,0.12,0.0144,243.058,59077.191364,3099.15898406479,6244.72479502248,10003.3758901791,False,False
