,vip,title,year,kms,city,province,transmission,price,age,age_sq,year_norm,year_norm_sq,kms_norm,kms_norm_sq,10th Quantile,50th Quantile,90th Quantile,cheap,expensive
0,28724984,2021 Mitsubishi RVR Heated Front Seats | Backup Camera,2021.0,58373.0,Grande Prairie,AB,Automatic,29652.0,2.0,4.0,0.1,0.010000000000000002,58.373,3407.4071289999997,24908.272665500743,28167.998372036825,32187.79860693087,False,False
1,29351044,2019 Mitsubishi RVR SE Black Edition,2019.0,60537.0,Coldbrook,NS,Automatic,22495.0,4.0,16.0,0.08,0.0064,60.537,3664.728369,20480.02872912628,24751.214099352997,27961.33112578875,False,False
2,29478395,2011 Mitsubishi RVR,2011.0,200000.0,Toronto,ON,Automatic,2500.0,12.0,144.0,0.0,0.0,200.0,40000.0,3871.470859322195,6635.809942203159,10148.564430838785,True,False
3,29460641,2011 Mitsubishi RVR GT,2011.0,238000.0,Fredericton,NB,Automatic,5995.0,12.0,144.0,0.0,0.0,238.0,56644.0,1239.4873845784678,4603.632767315339,8768.533580602947,False,False
4,29472935,2022 Mitsubishi RVR ES,2022.0,49000.0,Ottawa,ON,Automatic,23950.0,1.0,1.0,0.11,0.0121,49.0,2401.0,27201.234502894094,30114.911460769363,34744.22902820218,True,False
5,29464900,2020 Mitsubishi RVR ES/SE AUTO|CAM,2020.0,69879.0,Saint-Léonard,QC,Automatic,21995.0,3.0,9.0,0.09,0.0081,69.879,4883.074641000001,22700.937235130576,26163.583076030845,29649.945857872564,True,False
7,29394625,2012 Mitsubishi RVR SE,2012.0,228000.0,Montréal,QC,Automatic,6995.0,11.0,121.0,0.01,0.0001,228.0,51984.0,3209.1308507470203,6692.409511368551,10391.897784057164,False,False
8,29391362,2011 Mitsubishi RVR 4WD | BLUETOOTH | ALLOYS | KEYLESS | ROOF RACKS,2011.0,183520.0,Toronto,ON,Automatic,6998.0,12.0,144.0,0.0,0.0,183.52,33679.5904,4792.973265334302,7441.7627628731825,10746.550634510386,False,False
9,29309759,2013 Mitsubishi RVR SE,2013.0,176294.0,Mirabel,QC,Automatic,9995.0,10.0,100.0,0.02,0.0004,176.294,31079.574436000003,7691.357889276882,10859.277818437702,13624.506146548018,False,False
10,28917132,2020 Mitsubishi RVR SEL AWD TOUT EQUIPÉ SIEGES CHAUFFANT,2020.0,30792.0,Saint-Georges,QC,Automatic,27849.0,3.0,9.0,0.09,0.0081,30.792,948.1472640000001,22178.151548349444,27147.03260840782,31061.942841531338,False,False
11,28915615,2014 Mitsubishi RVR SE | NO ACCIDENTS | 4WD | BLUETOOTH | POWER GROUP,2014.0,106555.0,Burlington,ON,Automatic,15988.0,9.0,81.0,0.03,0.0009,106.555,11353.968025000002,11318.333138235357,15246.041841259477,17602.61768052589,False,False
12,29328313,2013 Mitsubishi RVR SE,2013.0,209900.0,Longueuil,QC,Automatic,5990.0,10.0,100.0,0.02,0.0004,209.9,44058.01,5790.216898557519,9208.23590995665,12405.042076751612,False,False
13,29431438,2015 Mitsubishi RVR SE,2015.0,96388.0,Kitchener,ON,Automatic,10500.0,8.0,64.0,0.04,0.0016,96.388,9290.646544000001,13003.853432633568,17172.221826908943,19517.854473619616,True,False
14,29240333,"2015 Mitsubishi RVR SE CVT 4 portes, Encore garantie, Jamais accidenté",2015.0,133406.0,Repentigny,QC,CVT,13990.0,8.0,64.0,0.04,0.0016,133.406,17797.160836000003,12328.009723543757,15839.57236535105,18177.876488452865,False,False
